id,name,ms_type,independent_business_rank,civic_infra_share_rank,resiliency_score
1,104 Street Downtown,Downtown and CBD,6,10,1279
2,97 Street Downtown,Downtown and CBD,2,24,1113
3,Jasper Avenue,Downtown and CBD,10,3,1415
4,107 Avenue NW,Downtown and CBD,13,12,1910
5,Bonnie Doon Shopping Centre,Regional Mall,21,15,2007
6,Kingsway Mall,Regional Mall,24,14,2173
7,Mill Woods Town Centre,Regional Mall,15,23,2207
8,Southgate Centre,Regional Mall,25,22,2216
9,West Edmonton Mall,Regional Mall,18,25,2533
10,100 Ave,Small Town,5,4,2233
11,50 Avenue,Small Town,20,8,2077
12,50 Street Beaumont,Small Town,17,9,3331
13,50 Street Stony Plain,Small Town,3,17,2169
14,104 Street NW,Urban and Suburban Main Street,4,7,1751
15,118 Alberta,Urban and Suburban Main Street,7,11,1903
16,118 Beverly,Urban and Suburban Main Street,12,6,2384
17,124 Street NW,Urban and Suburban Main Street,1,2,2139
18,137 Avenue NW,Urban and Suburban Main Street,23,20,2541
19,149 Street NW,Urban and Suburban Main Street,16,5,2783
20,Whyte (82) Avenue,Urban and Suburban Main Street,8,18,1867
21,97 Street North,Urban and Suburban Main Street,14,16,2351
22,Parsons Road SW,Urban and Suburban Main Street,22,20,2109
23,Sherwood Drive,Urban and Suburban Main Street,11,1,2033
24,St. Albert Road,Urban and Suburban Main Street,19,13,2080
25,Stony Plain Road NW,Urban and Suburban Main Street,9,19,1972
