Name,Region,Type,TypeCode,Resiliency_Score
North York Centre,TorontoCMA,Downtown and CBD,1,2177.155065
Notre-Dame,MontrealCMA,Downtown and CBD,1,1679.696673
Spadina Chinatown,TorontoCMA,Downtown and CBD,1,1661.836626
St. Denis,MontrealCMA,Downtown and CBD,1,1637.51375
Downtown Yonge,TorontoCMA,Downtown and CBD,1,1512.264656
Rue St. Paul,MontrealCMA,Downtown and CBD,1,1495.495385
Jasper Avenue,EdmontonCMA,Downtown and CBD,1,1415.356336
Liberty Village,TorontoCMA,Downtown and CBD,1,1349.976139
Rue Sainte Catherine,MontrealCMA,Downtown and CBD,1,1339.097866
104 Street Downtown,EdmontonCMA,Downtown and CBD,1,1278.959778
97 Street Downtown,EdmontonCMA,Downtown and CBD,1,1113.040215
Rue Beaubien,MontrealCMA,Urban and Suburban Main Street,2,3109.814089
149 Street NW,EdmontonCMA,Urban and Suburban Main Street,2,2782.675536
Rue Fleury,MontrealCMA,Urban and Suburban Main Street,2,2707.299732
Thorncliffe Park,TorontoCMA,Urban and Suburban Main Street,2,2692.978204
Kingston Road (Scarborough),TorontoCMA,Urban and Suburban Main Street,2,2622.316737
137 Avenue NW,EdmontonCMA,Urban and Suburban Main Street,2,2541.338036
Etobicoke Lakeshore,TorontoCMA,Urban and Suburban Main Street,2,2387.946098
118 Beverly,EdmontonCMA,Urban and Suburban Main Street,2,2383.530118
97 Street North,EdmontonCMA,Urban and Suburban Main Street,2,2351.431282
Avenue Victoria,MontrealCMA,Urban and Suburban Main Street,2,2295.104054
124 Street NW,EdmontonCMA,Urban and Suburban Main Street,2,2139.370493
Parsons Road SW,EdmontonCMA,Urban and Suburban Main Street,2,2108.768286
Dundas Street (Mississauga),TorontoCMA,Urban and Suburban Main Street,2,2101.558663
Boulevard Monk,MontrealCMA,Urban and Suburban Main Street,2,2097.552322
St. Albert Road,EdmontonCMA,Urban and Suburban Main Street,2,2080.098526
Rue St. Hubert,MontrealCMA,Urban and Suburban Main Street,2,2072.29686
Golden Mile,TorontoCMA,Urban and Suburban Main Street,2,2051.024191
Oakville,TorontoCMA,Urban and Suburban Main Street,2,2037.913611
Sherwood Drive,EdmontonCMA,Urban and Suburban Main Street,2,2033.186006
Stony Plain Road NW,EdmontonCMA,Urban and Suburban Main Street,2,1971.810061
Rue Wellington,MontrealCMA,Urban and Suburban Main Street,2,1961.663755
Weston Road,TorontoCMA,Urban and Suburban Main Street,2,1960.179866
107 Avenue NW,EdmontonCMA,Urban and Suburban Main Street,2,1910.258787
Jean Talon,MontrealCMA,Urban and Suburban Main Street,2,1904.476939
118 Alberta,EdmontonCMA,Urban and Suburban Main Street,2,1902.90199
Rue Ontario,MontrealCMA,Urban and Suburban Main Street,2,1895.710904
Mont Royal,MontrealCMA,Urban and Suburban Main Street,2,1890.479826
Whyte (82) Avenue,EdmontonCMA,Urban and Suburban Main Street,2,1867.286563
Avenue Dorval,MontrealCMA,Urban and Suburban Main Street,2,1756.426584
Boulevard St. Martin,MontrealCMA,Urban and Suburban Main Street,2,1752.034585
104 Street NW,EdmontonCMA,Urban and Suburban Main Street,2,1750.631137
Newmarket,TorontoCMA,Urban and Suburban Main Street,2,1749.456385
Highway 7 (Markham),TorontoCMA,Urban and Suburban Main Street,2,1669.549461
Rue St. Charles,MontrealCMA,Urban and Suburban Main Street,2,1665.915261
Kingston Road (Pickering),TorontoCMA,Urban and Suburban Main Street,2,1663.965764
West Queen West,TorontoCMA,Urban and Suburban Main Street,2,1580.281995
Downtown Brampton,TorontoCMA,Urban and Suburban Main Street,2,1373.668174
50 Street Beaumont,EdmontonCMA,Small Town,3,3330.692955
High Street (Sutton),TorontoCMA,Small Town,3,2785.541761
Caledon East,TorontoCMA,Small Town,3,2756.166866
Uxbridge,TorontoCMA,Small Town,3,2402.344217
Rue Richelieu,MontrealCMA,Small Town,3,2273.506097
100 Ave,EdmontonCMA,Small Town,3,2233.436286
50 Street Stony Plain,EdmontonCMA,Small Town,3,2168.992623
Schomberg,TorontoCMA,Small Town,3,2150.447863
50 Avenue,EdmontonCMA,Small Town,3,2076.638929
Rue St. Anne,MontrealCMA,Small Town,3,1873.616734
Rue St. George,MontrealCMA,Small Town,3,1589.373504
St. Eustache,MontrealCMA,Small Town,3,1429.479518
Centre Rockland,MontrealCMA,Regional Mall,4,2700.67
West Edmonton Mall,EdmontonCMA,Regional Mall,4,2532.91
Carrefour Laval,MontrealCMA,Regional Mall,4,2352.022
Southgate Centre,EdmontonCMA,Regional Mall,4,2215.927
Mill Woods Town Centre,EdmontonCMA,Regional Mall,4,2206.837
Mall Champlain,MontrealCMA,Regional Mall,4,2192.046
Kingsway Mall,EdmontonCMA,Regional Mall,4,2173.329
Fairview Pointe Claire,MontrealCMA,Regional Mall,4,2149.453
Pickering Town Centre,TorontoCMA,Regional Mall,4,2141.126
Vaughan Mills,TorontoCMA,Regional Mall,4,2013.731
Bonnie Doon Shopping Centre,EdmontonCMA,Regional Mall,4,2006.84
Yorkdale Mall,TorontoCMA,Regional Mall,4,1851.51
Square One,TorontoCMA,Regional Mall,4,1845.587
Carrefour Richelieu,MontrealCMA,Regional Mall,4,1823.907
Scarborough Town Centre,TorontoCMA,Regional Mall,4,1670.587
