date,drinking places,full service restaurants,limited service eating places
2020-01-01,94.422688,104.2756748,102.7489261
2020-02-01,102.0397904,107.6334448,105.4787597
2020-03-01,51.34593974,53.98848039,75.86393402
2020-04-01,11.50981934,24.82965,59.9777592
2020-05-01,18.25821238,34.56548328,73.60203081
2020-06-01,47.48143197,52.28021467,81.8949371
2020-07-01,60.95432343,68.48085813,88.36302376
2020-08-01,63.89164351,73.51390712,88.86806358
2020-09-01,65.55166637,77.83953642,93.38769293
2020-10-01,53.13908586,67.23266171,89.97654342
2020-11-01,44.08544851,59.41920878,88.44837748
2020-12-01,37.14536272,50.18310778,88.25938811
2021-01-01,30.3932113,51.74975099,90.29530427
2021-02-01,38.02011805,60.15961414,92.26121893
2021-03-01,40.75282882,66.25746923,96.28328915
2021-04-01,34.85345552,53.64445975,96.21480162
2021-05-01,32.87310839,50.34414086,95.68461918
2021-06-01,57.75082928,75.46185716,98.74855443
2021-07-01,80.37137511,94.88948488,102.8205772
2021-08-01,79.66479353,96.48079988,101.7754234
2021-09-01,75.63388402,95.13967479,105.7391871
2021-10-01,76.88633976,94.45873203,104.0909525
2021-11-01,77.32529332,91.3491761,103.2567708
2021-12-01,68.38913812,87.91690977,104.1664574
2022-01-01,42.59609002,64.96492387,103.2937503
2022-02-01,64.98411596,96.97395218,108.196328
2022-03-01,79.37848444,103.2500818,110.279761
2022-04-01,94.38946579,110.3225946,113.5995804
2022-05-01,88.89322838,107.3974732,112.927462
2022-06-01,88.98995728,109.2624776,113.7055338
2022-07-01,102.2251251,112.3378407,114.6608099
2022-08-01,88.41754304,107.6373961,112.0706494
2022-09-01,96.31087443,115.3257518,116.5351504
2022-10-01,94.80025653,113.0955835,115.8426053
2022-11-01,92.80044874,107.2757218,114.1990184
2022-12-01,98.84277417,113.5979377,116.4534629
2023-01-01,89.30697859,121.4137129,126.0133884
2023-02-01,88.79929105,120.809343,127.4964797
2023-03-01,86.66886792,115.5312147,125.0093931
2023-04-01,91.01709008,121.7655001,127.3883929
2023-05-01,89.55116265,117.0896111,127.3738617
2023-06-01,92.1663463,120.2813036,126.7161883
2023-07-01,101.8256204,120.1381724,126.3856571
2023-08-01,90.73713593,114.7782296,123.5648155
2023-09-01,100.611979,122.2888507,127.7346025
2023-10-01,93.8691968,117.7641623,125.705712
2023-11-01,90.18557472,116.3020468,125.1501711
2023-12-01,99.16799605,126.8521482,127.6435207
