date,Brampton,Caledon East,Downtown Yonge,Etobicoke Lakeshore,Golden Mile,Kingston Road,Liberty Village,Markham,Mississauga Dundas,Newmarket,North York Centre,Oakville,Pickering,Pickering Town Centre,Scarborough Town Centre,Schomberg,Spadina,Square One,Sutton,Thorncliffe Park,Uxbridge,Vaughan Mills,West Queen West,Weston,Yorkdale
2020-01-01,77.93558157,104.723948,89.24493547,91.63006375,88.66740743,90.09034966,91.3344405,91.15455705,90.69461407,76.61237666,102.2192001,72.38286102,77.65496353,94.72794089,86.55448717,108.2418834,87.35434478,90.59143848,98.6360063,109.0605452,96.41811654,78.85920548,87.32135765,83.63964291,82.20969339
2020-02-01,69.08389951,69.03705431,77.41080814,92.62624539,86.71733919,89.05490227,80.37360311,74.03517319,86.41315004,64.22597493,79.69363829,60.52886274,85.00232484,83.31774985,77.87960305,134.008611,72.82297347,90.21191275,66.3003512,116.0294533,94.04237512,71.40950756,82.71191083,94.1985737,74.88352282
2020-03-01,46.09085743,66.64418515,46.86816502,68.51795816,68.41332862,83.95389713,52.61701655,48.70639813,62.6061642,48.58430763,66.06307996,41.79633463,62.69761239,45.16406521,46.27402868,55.58696399,49.03215674,44.58697077,65.82559624,97.04735079,68.87483578,33.11361446,55.6950197,73.78464173,40.42337815
2020-04-01,27.96162947,60.48239791,18.35855505,49.48782447,46.49200557,71.2222536,34.54787205,32.00984111,51.90990439,28.60273744,43.72746059,18.28299472,53.31911206,17.32555799,17.01453159,40.90543914,28.06645973,10.72183229,52.02831777,62.23718095,28.85779528,3.988691426,36.02888314,58.87882557,16.08616451
2020-05-01,24.10045533,50.61009222,21.1205378,42.47504029,43.33943864,69.64048147,29.76837161,32.04790546,48.52962657,26.90135939,49.75251443,20.71032964,46.3698156,15.64999082,14.5147985,17.32017705,27.00786948,11.41661112,58.887289,62.99398074,32.72243662,5.404644371,28.19881966,54.99257962,15.23564882
2020-06-01,24.09304303,57.65118391,22.4828967,48.48156539,53.86600362,66.35069561,34.31450076,33.30584041,52.83575261,28.92970325,49.13046015,32.96199198,49.53910973,29.1445634,19.51017624,36.26779495,29.34446701,18.19409906,52.39513966,68.47284742,30.968162,24.08835116,28.91213246,63.86431909,24.51300105
2020-07-01,28.81571824,77.544617,29.86165835,56.07845526,58.10383604,69.98348471,32.39168161,39.89063556,57.27920694,34.27722622,48.44016656,41.46459499,52.67797563,49.75710819,39.22027151,55.1463764,31.57791887,42.37519448,56.10275773,77.69573735,46.81331263,48.31317957,31.59017194,61.89246811,45.33244643
2020-08-01,29.04300797,71.00476124,33.82933741,51.49468043,60.11786282,64.738832,29.02591307,42.16434221,57.90620053,35.8674535,52.40986266,48.73992201,53.38001826,55.47996011,44.21636138,53.08411951,34.38386664,46.9246621,50.17149368,74.18162676,45.17882956,51.54737457,34.74133132,59.28592521,50.57226019
2020-09-01,33.28253209,74.2043609,33.16424509,64.37982825,62.20100899,77.13938756,35.68938793,46.6734763,63.27734644,39.48127557,53.44859635,48.03484388,50.5657389,59.68135613,45.43644139,60.30785352,40.73490667,47.11141918,58.88176824,76.23621589,46.2166586,52.32037795,37.29089055,64.09346123,46.03564808
2020-10-01,35.05497673,80.07513048,30.68409543,59.54445623,57.04994631,67.68772334,36.3819545,42.01111375,53.10046627,49.67784989,52.88087315,62.21544908,53.38030584,59.83602752,37.98021796,51.61566755,42.70410454,45.75663382,66.29781419,69.93121039,58.61209918,54.13060822,37.41600164,60.67555381,44.52500694
2020-11-01,34.91821553,74.97639276,28.33827076,62.10918231,51.63773463,72.87823871,36.08479288,38.69356466,45.95396989,51.33573437,54.34294851,69.24071747,51.96349426,57.45679653,33.5424971,33.86048725,38.28781277,35.96599805,86.76704736,66.9955085,82.55824805,49.93721962,37.65575683,69.13883659,37.25219593
